Pomurska;10052;8510;7834;7980;11355;10993;10130;9729
Podravska;19931;16886;14580;15295;19977;21315;21716;21472
Koroska;3790;3155;2570;3167;4222;4823;4329;4648
Savinjska;15351;12820;10970;10982;14012;16354;15875;17141
Zasavska;2653;2240;1869;1895;2379;2641;2833;3160
Spodnjeposavska;3712;3091;2759;2978;3947;4577;4655;5113
Jugovzhodna Slovenija;5988;5160;4427;5115;6582;7625;8477;9462
Osrednjeslovenska;17757;15331;13302;13618;19354;24511;24529;28007
Gorenjska;6578;4869;4139;5253;7136;8580;8365;9124
Notranjsko-kraska;1836;1539;1331;1500;2007;2508;2605;2997
Goriska;3664;2906;2465;2921;4381;5293;5374;6085
Obalno-kraska;3834;3439;2966;3103;3956;4980;5269;5915
